id,name,absolute_magnitude_h,estimated_diameter_km_min,estimated_diameter_km_max,is_potentially_hazardous,close_approach_date,relative_velocity_kph,miss_distance_km,orbiting_body
2462238,462238 (2008 CN1),20.66,0.1961349444,0.4385710684,True,2025-03-20,66079.8670338079,49188925.87487994,Earth
3840738,(2019 FN2),23.7,0.0483676488,0.1081533507,False,2025-03-20,51886.6892112298,55448221.33156316,Earth
54016204,(2020 FM),24.1,0.040230458,0.0899580388,False,2025-03-20,40368.0578565874,44904232.423796424,Earth
54132069,(2021 FM),24.76,0.0296862251,0.0663804174,False,2025-03-20,49329.707888061,12660924.116322009,Earth
54157829,(2021 LR3),24.35,0.0358554334,0.0801751865,False,2025-03-20,21662.5248496921,66177846.041735665,Earth
54520917,(2025 DD8),21.609,0.1266936875,0.2832956975,False,2025-03-20,69082.4313976871,26494792.368145269,Earth
54522261,(2025 EU),25.721,0.0190701881,0.0426422369,False,2025-03-20,22941.6358927676,10855946.198785595,Earth
2138258,138258 (2000 GD2),18.98,0.425162524,0.9506923052,False,2025-03-21,100303.515070699,64256255.851504688,Earth
3786459,(2017 UE),26.9,0.0110803882,0.0247765013,False,2025-03-21,20238.7768281627,37440397.836266888,Earth
3827162,(2018 RR),27.6,0.0080270317,0.0179489885,False,2025-03-21,34077.2943663132,15796534.905520541,Earth
54132114,(2021 FH1),25.28,0.0233644185,0.052244428,False,2025-03-21,49786.4841800461,1495653.743506786,Earth
54356391,(2023 HO4),23.15,0.0623096019,0.1393285055,False,2025-03-21,21194.888783843,31394016.455996717,Earth
54433731,(2024 GT3),24.48,0.0337718597,0.0755161741,False,2025-03-21,30038.4029668898,43203072.765197924,Earth
54522524,(2025 EY),25.223,0.0239858424,0.0536339742,False,2025-03-21,19930.5822887709,14653760.725974309,Earth
3023012,(1999 RA32),21.39,0.1401376972,0.3133574171,False,2025-03-22,22213.3856338709,13740421.448654789,Earth
3457435,(2009 HS2),21.96,0.1077841687,0.2410127282,False,2025-03-22,77881.5335291627,31600094.044388849,Earth
54178992,(2021 PS2),20.0,0.2658,0.5943468684,True,2025-03-22,41351.3518655362,10126125.345539438,Earth
2618350,618350 (2021 PS2),19.99,0.2670268771,0.5970902489,True,2025-03-22,41351.1969236458,10126351.32808186,Earth
54341482,(2023 CJ1),25.51,0.0210162379,0.0469937366,False,2025-03-22,49358.3424577038,47273216.885551421,Earth
54431498,(2024 FE1),26.13,0.0157962856,0.0353215683,False,2025-03-22,18063.1958111947,20476347.686987609,Earth
54481741,(2024 SH1),26.84,0.0113908197,0.0254706471,False,2025-03-22,9109.4721625011,20644386.486422509,Earth
54482414,(2024 SY1),26.01,0.0166937912,0.0373284519,False,2025-03-22,43506.6724422871,62576445.230134953,Earth
54486936,(2024 TA1),24.38,0.0353634784,0.0790751417,False,2025-03-22,49450.4366257051,56222786.518771855,Earth
3092124,(1994 GL),25.5,0.0211132445,0.0472106499,False,2025-03-23,79814.3510173741,52987376.372533598,Earth
3370497,(2007 EE26),26.1,0.0160160338,0.0358129403,False,2025-03-23,69076.2266907865,72221520.493427547,Earth
3562324,(2011 GP44),24.4,0.0350392641,0.0783501764,False,2025-03-23,55128.8550217352,25052654.061236565,Earth
3633049,(2013 FY7),22.51,0.0836671502,0.1870854353,False,2025-03-23,34169.3288387293,73098359.580922998,Earth
3669221,(2014 HL123),22.48,0.0848310762,0.189688053,False,2025-03-23,24927.0083856534,27338983.007054902,Earth
3693145,(2014 TJ33),23.12,0.0631764148,0.1412667581,False,2025-03-23,66323.2958976071,32662928.148695513,Earth
3841620,(2019 HM3),27.0,0.0105816886,0.023661375,False,2025-03-23,47176.4822896001,39363374.813712552,Earth
54132072,(2021 FP),22.84,0.0718712133,0.1607089186,False,2025-03-23,79091.7488689608,26854911.347029798,Earth
54271307,(2022 GS3),24.26,0.0373727432,0.0835679943,False,2025-03-23,45860.5255289029,22884919.993724114,Earth
54292217,(2022 OC3),28.37,0.0056306039,0.0125904131,False,2025-03-23,10744.5574670329,16677411.594647931,Earth
54342225,(2023 DQ),21.79,0.1165614595,0.2606393469,True,2025-03-23,65695.2233491598,47383865.379319286,Earth
54404103,(2023 VO6),28.11,0.0063468024,0.0141918816,False,2025-03-23,28931.8618040085,25024387.648418574,Earth
54431184,(2024 FB),25.79,0.0184737464,0.0413085527,False,2025-03-23,83486.4654757201,70241974.607339657,Earth
54519239,(2025 CT2),22.6,0.0802703167,0.1794898848,False,2025-03-23,43954.5456332132,27236782.948276778,Earth
54520926,(2025 DA15),24.967,0.0269870228,0.0603448176,False,2025-03-23,27903.5513454992,6476659.471337289,Earth
54523641,(2025 EL4),20.766,0.1867905826,0.4176764402,False,2025-03-23,63765.4540284576,12068681.856768359,Earth
3092385,(2001 TC45),19.48,0.3377185972,0.7551617405,True,2025-03-24,82781.80684754,45409849.094259993,Earth
3153530,(2003 HT42),24.8,0.0291443905,0.0651688382,False,2025-03-24,48453.6684422718,39809222.198381411,Earth
3338369,(2006 QS23),20.1,0.2538370294,0.5675968529,False,2025-03-24,64801.9541762269,31072890.461123428,Earth
3714121,(2015 FE36),23.0,0.0667659413,0.1492931834,False,2025-03-24,43141.9837625474,45046064.025093883,Earth
3781913,(2017 ST17),24.82,0.0288771931,0.0645713667,False,2025-03-24,61104.6474026314,41287279.851464335,Earth
54073343,(2020 UC),27.59,0.0080640828,0.0180318372,False,2025-03-24,78526.3915920694,71877560.597747234,Earth
54201815,(2021 TO),24.26,0.0373727432,0.0835679943,False,2025-03-24,32499.3890703251,67106818.326389759,Earth
54298776,(2022 QU7),24.88,0.0280902094,0.0628116177,False,2025-03-24,60809.9416017944,66429638.465312173,Earth
2620059,620059 (2006 QS23),20.15,0.2480589932,0.5546767711,False,2025-03-24,64801.9591092385,31072891.583107453,Earth
54354973,(2023 HW2),25.49,0.0212106988,0.0474285643,False,2025-03-24,86497.1250751253,69139169.298549823,Earth
54392052,(2023 SN11),23.78,0.0466181437,0.1042413384,False,2025-03-24,86663.8168545049,32288129.340264902,Earth
54423318,(2024 BA5),26.02,0.0166170902,0.0371569432,False,2025-03-24,27446.2126107962,37274445.986957636,Earth
54469029,(2024 RD7),22.81,0.0728710415,0.1629446024,False,2025-03-24,97719.3548195224,52544012.611702479,Earth
54522697,(2025 ED2),20.799,0.1839733754,0.4113769735,False,2025-03-24,41476.6386206366,27226079.280517426,Earth
3553062,(2010 XA11),26.1,0.0160160338,0.0358129403,False,2025-03-17,58604.0820539483,26025592.875647706,Earth
3714001,(2015 FN35),23.73,0.0477040198,0.1066694311,False,2025-03-17,71316.5783783796,41798940.081398673,Earth
3831218,(2018 TD2),26.5,0.0133215567,0.0297879063,False,2025-03-17,74534.3360184618,73826392.171150749,Earth
3976545,(2020 AB2),27.0,0.0105816886,0.023661375,False,2025-03-17,24830.0150564839,48738059.706069386,Earth
54248634,(2022 DX3),25.38,0.0223128464,0.0498930414,False,2025-03-17,54330.3234117889,53070093.941666734,Earth
54342587,(2023 EF),26.18,0.0154367182,0.0345175513,False,2025-03-17,15672.8669984607,19128895.317364373,Earth
54505035,(2024 XA8),22.86,0.0712122941,0.1592355304,False,2025-03-17,32021.8579372089,14996847.254329775,Earth
2141078,141078 (2001 XQ30),18.65,0.4949427609,1.1067256584,False,2025-03-18,24099.6885721276,29107287.904348036,Earth
2303450,303450 (2005 BY2),20.49,0.2121069879,0.4742856434,True,2025-03-18,26100.8389437687,25586139.034666481,Earth
3557535,(2011 CK50),24.2,0.0384197891,0.0859092601,False,2025-03-18,42923.8476678463,14658609.23782037,Earth
3781467,(2017 RY15),22.73,0.0756057762,0.1690596552,False,2025-03-18,40124.7304532226,17133773.585288036,Earth
54055085,(2020 TL2),24.5,0.0334622374,0.0748238376,False,2025-03-18,53450.155970591,46406320.147295105,Earth
54062082,(2020 TS4),27.9,0.0069912523,0.0156329154,False,2025-03-18,24591.4193966507,56647272.853502988,Earth
54105264,(2021 AA5),25.8,0.0183888672,0.0411187571,False,2025-03-18,29997.5339703746,69827853.116152113,Earth
54316913,(2022 UR1),24.04,0.0413575665,0.0924783301,False,2025-03-18,62434.8089260628,36971497.793825704,Earth
54340261,(2023 BJ5),28.31,0.0057883526,0.0129431498,False,2025-03-18,18074.5062532993,72476693.90366499,Earth
54381339,(2023 RZ3),25.7,0.0192555078,0.0430566244,False,2025-03-18,67429.1228102381,16189487.265877782,Earth
54430777,(2024 EH4),23.81,0.0459785188,0.1028110936,False,2025-03-18,51435.0060751447,55989458.212300097,Earth
54499613,(2024 VB4),24.51,0.0333084924,0.0744800533,False,2025-03-18,49189.3185621258,51532624.122824364,Earth
54521713,(2025 DU25),27.171,0.0097803631,0.0218695566,False,2025-03-18,19206.6123096324,1114346.410465659,Earth
3732114,(2015 UG51),25.8,0.0183888672,0.0411187571,False,2025-03-19,65244.0999464672,52212414.047859414,Earth
3750669,(2016 GC135),23.49,0.0532788665,0.1191351672,False,2025-03-19,31608.0251701108,29904822.931948224,Earth
3764835,(2016 WM8),24.2,0.0384197891,0.0859092601,False,2025-03-19,30643.0941758536,72927066.579021988,Earth
54296739,(2022 QO2),27.66,0.0078082728,0.0174598287,False,2025-03-19,58827.2640796429,9310511.430309537,Earth
54416960,(2023 XR14),28.34,0.0057089334,0.0127655632,False,2025-03-19,61960.3231048463,34310532.08398954,Earth
54458504,(2024 NV1),25.16,0.0246919266,0.0552128263,False,2025-03-19,32705.2137482043,73932626.061694488,Earth
54490132,(2024 TT9),24.66,0.0310852938,0.0695088301,False,2025-03-19,53365.4631919886,58831928.205367305,Earth
54520803,(2025 DE7),25.282,0.023342909,0.0521963313,False,2025-03-19,15585.1827076389,18207704.784792365,Earth
54522521,(2025 CE13),21.39,0.1401376972,0.3133574171,True,2025-03-19,50929.5948523978,17149732.431743257,Earth
54522918,(2025 EQ2),26.856,0.0113071975,0.0252836622,False,2025-03-19,22229.0787878938,2007799.403569487,Earth
3699902,(2014 UV210),26.9,0.0110803882,0.0247765013,False,2025-03-30,11540.5152244826,30347482.745042271,Earth
3715466,(2015 GK),26.0,0.0167708462,0.0375007522,False,2025-03-30,60327.9737221334,23312095.948559977,Earth
3742881,(2016 CK137),27.3,0.0092162655,0.0206081961,False,2025-03-30,32222.112138095,70026078.446986028,Earth
3761354,(2016 UR5),26.7,0.0121494041,0.0271668934,False,2025-03-30,71307.5053634579,70834158.20956848,Earth
3772842,(2017 FO91),25.1,0.0253837029,0.0567596853,False,2025-03-30,25472.9625972883,16311206.211462665,Earth
3986764,(2020 BM1),25.6,0.0201629919,0.0450858206,False,2025-03-30,67371.891729237,59285471.323343,Earth
54055061,(2020 TR1),27.1,0.0101054342,0.0225964377,False,2025-03-30,23648.5070873966,45082580.521085782,Earth
54087767,(2020 VA4),27.43,0.0086807046,0.0194106455,False,2025-03-30,20288.3273869218,4443922.087879015,Earth
54354663,(2023 HJ1),26.44,0.0136947774,0.0306224531,False,2025-03-30,30154.6699159303,16479710.170514543,Earth
54482430,(2024 SP2),28.99,0.0042320908,0.0094632427,False,2025-03-30,18000.7552624339,26596673.334666683,Earth
54492951,(2024 TV20),23.51,0.0527904029,0.1180429295,False,2025-03-30,39015.0257647882,63022797.552494423,Earth
54497456,(2024 UY17),30.37,0.0022415838,0.0050123337,False,2025-03-30,22613.3098031115,56774129.633214512,Earth
54522534,(2025 EJ1),23.608,0.0504608982,0.1128339986,False,2025-03-30,44934.1536127108,13089022.536503653,Earth
2414800,414800 (2010 SV3),20.72,0.1907897226,0.4266187892,False,2025-03-31,40882.0372843824,23602491.025385321,Earth
3398649,(2007 YN56),23.0,0.0667659413,0.1492931834,False,2025-03-31,33000.2506167009,71833036.067935087,Earth
3667093,(2014 GT34),21.7,0.1214940408,0.2716689341,False,2025-03-31,61277.9923940036,18662502.864339703,Earth
3765641,(2016 XB2),21.54,0.1307841086,0.2924421572,False,2025-03-31,64073.9760097766,28009402.719904632,Earth
3773912,(2017 GL6),23.06,0.0649463841,0.1452245297,False,2025-03-31,56384.764530386,39192210.37622102,Earth
3836294,(2018 WE1),26.1,0.0160160338,0.0358129403,False,2025-03-31,31161.0415504993,60249226.922906321,Earth
54145462,(2021 JL6),24.73,0.0300992017,0.067303861,False,2025-03-31,21786.2469160048,45166227.452026506,Earth
54202995,(2021 TX1),27.3,0.0092162655,0.0206081961,False,2025-03-31,116664.8024157469,72417374.802740471,Earth
54203016,(2021 TZ2),24.75,0.0298232505,0.0666868155,False,2025-03-31,29581.673187857,46373400.358092681,Earth
54431986,(2024 FN3),25.35,0.0226232491,0.0505871228,False,2025-03-31,38409.5097254822,36445222.555102355,Earth
3092385,(2001 TC45),19.48,0.3377185972,0.7551617405,True,2025-03-24,82781.80684754,45409849.094259993,Earth
3153530,(2003 HT42),24.8,0.0291443905,0.0651688382,False,2025-03-24,48453.6684422718,39809222.198381411,Earth
3338369,(2006 QS23),20.1,0.2538370294,0.5675968529,False,2025-03-24,64801.9541762269,31072890.461123428,Earth
3714121,(2015 FE36),23.0,0.0667659413,0.1492931834,False,2025-03-24,43141.9837625474,45046064.025093883,Earth
3781913,(2017 ST17),24.82,0.0288771931,0.0645713667,False,2025-03-24,61104.6474026314,41287279.851464335,Earth
54073343,(2020 UC),27.59,0.0080640828,0.0180318372,False,2025-03-24,78526.3915920694,71877560.597747234,Earth
54201815,(2021 TO),24.26,0.0373727432,0.0835679943,False,2025-03-24,32499.3890703251,67106818.326389759,Earth
54298776,(2022 QU7),24.88,0.0280902094,0.0628116177,False,2025-03-24,60809.9416017944,66429638.465312173,Earth
2620059,620059 (2006 QS23),20.15,0.2480589932,0.5546767711,False,2025-03-24,64801.9591092385,31072891.583107453,Earth
54354973,(2023 HW2),25.49,0.0212106988,0.0474285643,False,2025-03-24,86497.1250751253,69139169.298549823,Earth
54392052,(2023 SN11),23.78,0.0466181437,0.1042413384,False,2025-03-24,86663.8168545049,32288129.340264902,Earth
54423318,(2024 BA5),26.02,0.0166170902,0.0371569432,False,2025-03-24,27446.2126107962,37274445.986957636,Earth
54469029,(2024 RD7),22.81,0.0728710415,0.1629446024,False,2025-03-24,97719.3548195224,52544012.611702479,Earth
54522697,(2025 ED2),20.799,0.1839733754,0.4113769735,False,2025-03-24,41476.6386206366,27226079.280517426,Earth
2152754,152754 (1999 GS6),19.31,0.365220357,0.8166575449,True,2025-03-25,40968.0345566329,18288021.996262203,Earth
2443837,443837 (2000 TJ1),19.7,0.3051792326,0.6824015094,False,2025-03-25,84233.982862021,56617904.053980967,Earth
2519354,519354 (2011 KR12),21.47,0.1350687798,0.3020229733,False,2025-03-25,36384.4663288369,55548235.107229956,Earth
3384070,(2007 RU10),19.1,0.4023045798,0.8995803882,False,2025-03-25,99683.7958426295,49248039.936963837,Earth
3477940,(2009 WW7),28.9,0.004411182,0.0098637028,False,2025-03-25,26170.1299961433,50451719.209172967,Earth
3653322,(2013 UM9),24.57,0.0324007435,0.0724502651,False,2025-03-25,27699.9826266591,66654931.750507935,Earth
